insee_code,zip_code,name,latitude,longitude,department_insee_code
68293,68210,st cosme,47.681027764,7.0536469,68
68294,68160,ste croix aux mines,48.2681398,7.207821626,68
68295,68127,ste croix en plaine,48.01066086,7.395464055,68
68296,68590,st hippolyte,48.238913658,7.344946763,68
68297,68300,st louis,47.602157983,7.540686761,68
68298,68160,ste marie aux mines,48.228748164,7.169123034,68
68299,68210,st ulrich,47.591186333,7.112614439,68
68300,68390,sausheim,47.782178284,7.400383923,68
68301,68440,schlierbach,47.684670137,7.430316449,68
68302,68520,schweighouse thann,47.748976322,7.175274789,68
68303,68130,schwoben,47.607770853,7.297886081,68
68304,68780,sentheim,47.754484161,7.0494729,68
68305,68580,seppois le bas,47.538062395,7.168771487,68
68306,68580,seppois le haut,47.529905176,7.188704534,68
68307,68290,sewen,47.807690756,6.88006367,68
68308,68290,sickert,47.791975953,6.986716448,68
68309,68510,sierentz,47.66193963,7.466748432,68
68311,68380,sondernach,47.977971275,7.073865675,68
68312,68480,sondersdorf,47.476921157,7.333241464,68
68313,68780,soppe le bas,47.719008896,7.090866033,68
68315,68360,soultz haut rhin,47.882736923,7.179070465,68
68316,68230,soultzbach les bains,48.027887886,7.20346844,68
68317,68140,soultzeren,48.082825845,7.092121163,68
68318,68570,soultzmatt,47.970313351,7.212427777,68
68320,68720,spechbach,47.679266158,7.224984535,68
68321,68850,staffelfelden,47.827212742,7.252717147,68
68322,68700,steinbach,47.822328396,7.139452227,68
68323,68440,steinbrunn le bas,47.676357302,7.363817365,68
68324,68440,steinbrunn le haut,47.659899766,7.341252061,68
68325,68640,steinsoultz,47.558232823,7.346071214,68
68326,68780,sternenberg,47.694730274,7.091183115,68
68327,68510,stetten,47.62384372,7.419025019,68
68328,68470,storckensohn,47.864638853,6.943121061,68
68329,68140,stosswihr,48.054990224,7.060533347,68
68330,68580,strueth,47.575756197,7.115993091,68
68331,68280,sundhoffen,48.043049137,7.421841395,68
68332,68720,tagolsheim,47.655365307,7.264649181,68
68333,68130,tagsdorf,47.620621354,7.301055773,68
68334,68800,thann,47.814087874,7.094668866,68
68335,68590,thannenkirch,48.233033481,7.293167392,68
68336,68210,traubach le bas,47.655403678,7.09435522,68
68337,68210,traubach le haut,47.670288008,7.094925712,68
68338,68230,turckheim,48.086367454,7.25117535,68
68340,68580,ueberstrass,47.546263652,7.152871281,68
68341,68510,uffheim,47.644484689,7.437875461,68
68342,68700,uffholtz,47.829594381,7.164812729,68
68343,68190,ungersheim,47.873466992,7.305432021,68
68344,68121,urbes,47.879970897,6.927580056,68
68345,68320,urschenheim,48.080543586,7.490679888,68
68347,68480,vieux ferrette,47.508864312,7.304951442,68
68348,68800,vieux thann,47.805018306,7.127086894,68
68349,68128,village neuf,47.610014168,7.56862283,68
68350,68420,voegtlinshoffen,48.023880395,7.26209394,68
68351,68600,vogelgrun,48.010655215,7.584858583,68
68352,68600,volgelsheim,48.02388666,7.545083239,68
68353,68130,wahlbach,47.629834781,7.34612245,68
68354,68230,walbach,48.070375962,7.207849906,68
68355,68640,waldighofen,47.548233537,7.316802565,68
68356,68130,walheim,47.641383436,7.269753653,68
68357,68510,waltenheim,47.655224793,7.422501291,68
68358,68230,wasserbourg,47.997118499,7.153310849,68
68359,68700,wattwiller,47.841790507,7.175706896,68
68360,68600,weckolsheim,48.003097475,7.497604831,68
68361,68290,wegscheid,47.815196016,6.97689917,68
68362,68220,wentzwiller,47.547766556,7.473033633,68
68363,68480,werentzhouse,47.520695715,7.362124048,68
68364,68250,westhalten,47.96675669,7.255847498,68
68365,68920,wettolsheim,48.051942908,7.306466817,68
68366,68320,wickerschwihr,48.111035301,7.440176071,68
68367,68320,widensolen,48.058175493,7.483047108,68
68368,68230,wihr au val,48.054755103,7.197993822,68
68370,68820,wildenstein,47.987611427,6.964459476,68
68371,68960,willer,47.580050573,7.324728639,68
68372,68760,willer sur thur,47.851825626,7.080076592,68
68373,68480,winkel,47.45877269,7.264556064,68
68374,68124,wintzenheim,48.063436018,7.271159247,68
68375,68310,wittelsheim,47.798691724,7.240146598,68
68376,68270,wittenheim,47.810609348,7.31259278,68
68377,68130,wittersdorf,47.615981737,7.273081939,68
68378,68210,wolfersdorf,47.643099094,7.105875538,68
68379,68600,wolfgantzen,48.028074364,7.496836408,68
68380,68480,wolschwiller,47.456538111,7.406843948,68
68381,68500,wuenheim,47.869026047,7.186005556,68
68382,68130,zaessingue,47.619933211,7.372738179,68
68383,68340,zellenberg,48.175317508,7.360405099,68
68384,68720,zillisheim,47.685660306,7.303030905,68
68385,68230,zimmerbach,48.074669822,7.230503712,68
68386,68440,zimmersheim,47.718765119,7.382341264,68
69001,69170,affoux,45.843773423,4.413312279,69
69002,69790,aigueperse,46.280145406,4.424088341,69
69003,69250,albigny sur saone,45.864099485,4.830633796,69
69004,69380,alix,45.917088276,4.653774018,69
69005,69480,amberieux d azergues,45.928617479,4.74036159,69
69006,69550,amplepuis,45.964730332,4.328411964,69
69007,69420,ampuis,45.50340929,4.803076894,69
69008,69490,ancy,45.832347273,4.503836119,69
69009,69480,anse,45.942534182,4.708196729,69
69010,69210,l arbresle,45.835331433,4.608305287,69
69012,69430,les ardillats,46.189240096,4.536787447,69
69013,69400,arnas,46.018548991,4.710963117,69
69014,69610,aveize,45.679296842,4.475382112,69
69016,69790,azolette,46.191827395,4.413937493,69
69017,69620,bagnols,45.909108564,4.620342759,69
69018,69430,beaujeu,46.15694561,4.58380145,69
69019,69220,belleville en beaujolais,46.115672003,4.726490358,69
69020,69380,belmont d azergues,45.86752308,4.667808861,69
69021,69690,bessenay,45.774193217,4.546944798,69
69022,69690,bibost,45.796657875,4.548690433,69
69023,69460,blace,46.034903241,4.6353892850000005,69
69024,69620,val d oingt,45.935679511,4.572489612,69
69026,69620,le breuil,45.89097963,4.5916232,69
69027,69530,brignais,45.677848721,4.75271843,69
69028,69126,brindas,45.720595469,4.703373474,69
69029,69500,bron,45.734677772,4.911944142,69
69030,69690,brullioles,45.76336847,4.49272094,69
69031,69690,brussieu,45.7471998,4.517822129,69
69032,69210,bully,45.85930501,4.580635479,69
69033,69270,cailloux sur fontaines,45.860350893,4.884023823,69
69034,69300,caluire et cuire,45.79764558,4.85160388,69
69035,69840,cenves,46.279231213,4.660565806,69
69036,69220,cercie,46.12541626,4.6675716,69
69037,69870,chambost allieres,46.015348564,4.5105796300000005,69
69038,69770,chambost longessaigne,45.774200121,4.379578523,69
69039,69620,chamelet,45.984499472,4.49896262,69
69040,69410,champagne au mont d or,45.798370105,4.7865557160000005,69
69042,69590,la chapelle sur coise,45.650147133,4.4957475,69
69043,69630,chaponost,45.709062191,4.7455484210000005,69
69044,69260,charbonnieres les bains,45.780108492,4.743248388,69
69045,69220,charentay,46.084194615,4.689587262,69
69046,69390,charly,45.650878986,4.790358557,69
69047,69380,charnay,45.891437568,4.660652682,69
69049,69380,chasselay,45.874873659,4.770535708,69
69050,69380,chatillon,45.87072852,4.64201228,69
69051,69440,chaussan,45.637282749,4.634037838,69
69052,69380,chazay d azergues,45.876174824,4.709085538,69
69053,69840,chenas,46.216941218,4.708256756,69
69054,69430,chenelette,46.169479596,4.491224625,69
69055,69380,les cheres,45.89318916,4.743337018,69
69056,69380,chessy,45.890709358,4.616872286,69
69057,69210,chevinay,45.773347431,4.596280489,69
69058,69115,chiroubles,46.185562116,4.655877187,69
69059,69380,civrieux d azergues,45.854710636,4.711145549,69
69060,69870,claveisolles,46.097565983,4.511361401,69
69061,69640,cogny,45.987432298,4.609874027,69
69062,69590,coise,45.614526427,4.469298852,69
69063,69660,collonges au mont d or,45.822089693,4.842592936,69
69064,69420,condrieu,45.473797463,4.757399208,69
69065,69220,corcelles en beaujolais,46.153698327,4.725481358,69
69066,69470,cours,46.105893196,4.345225219,69
69067,69690,courzieu,45.740803176,4.57054147,69
69068,69270,couzon au mont d or,45.847972706,4.821760183,69
69069,69290,craponne,45.746008055,4.726884517,69
69070,69550,cublize,46.024420724,4.387280666,69
69071,69250,curis au mont d or,45.869185891,4.818360729,69
69072,69570,dardilly,45.812193057,4.746912819,69
69074,69640,denice,46.004774371,4.651715339,69
69075,69170,dieme,45.962718653,4.460593546,69
69076,69380,dommartin,45.835625719,4.714959468,69
69077,69220,drace,46.153759452,4.773982649,69
69078,69850,duerne,45.68106773,4.522908035,69
69080,69700,echalas,45.550663413,4.729811424,69
69081,69130,ecully,45.781880399,4.772636694,69
69082,69840,emeringes,46.225022842,4.672752349,69
69083,69210,eveux,45.824643889,4.622079859,69
69084,69820,fleurie,46.195438642,4.692582675,69
69085,69250,fleurieu sur saone,45.859387314,4.850877108,69
69086,69210,fleurieux sur l arbresle,45.839584827,4.652288604,69
69087,69270,fontaines st martin,45.843200724,4.85446315,69
69088,69270,fontaines sur saone,45.82844712,4.856323554,69
69089,69340,francheville,45.738012994,4.756225335,69
69090,69620,frontenas,45.922314524,4.631081317,69
69091,69700,givors,45.581348886,4.757971049,69
69092,69400,gleize,45.990992389,4.687747517,69
69093,69870,grandris,46.033343691,4.459260077,69
69094,69290,grezieu la varenne,45.748020085,4.689741194,69
69095,69610,grezieu le marche,45.66198313,4.420965489,69
69096,69520,grigny,45.608600369,4.787169917,69
69097,69420,les haies,45.512346076,4.737968748,69
69098,69610,les halles,45.715857785,4.435041323,69
69099,69610,haute rivoire,45.714740893,4.405335744,69
69100,69540,irigny,45.674938568,4.817932221,69
69102,69170,joux,45.890347961,4.367718676,69
69103,69840,julienas,46.242122864,4.7037613490000005,69
69104,69840,jullie,46.243467518,4.665286891,69
69105,69640,lacenas,45.986415137,4.646531701,69
69106,69480,lachassagne,45.927370151,4.679319831,69
69107,69870,lamure sur azergues,46.053005125,4.508269025,69
69108,69220,lancie,46.172917666,4.724982416,69
69109,69430,lantignie,46.154891127,4.618543324,69
69110,69590,larajasse,45.608017193,4.514375792,69
69111,69620,legny,45.904321633,4.574927772,69
69112,69210,lentilly,45.812468741,4.670380861,69
69113,69620,letra,45.972161385,4.5271967,69
69115,69400,limas,45.972210695,4.718864972,69
69116,69760,limonest,45.830939417,4.771193453,69
69117,69380,lissieu,45.855181406,4.745323925,69
69118,69700,loire sur rhone,45.54667954,4.782541073,69
69119,69420,longes,45.50435904,4.6798079470000005,69
69120,69770,longessaigne,45.785383993,4.426702059,69
69121,69380,lozanne,45.85292369,4.684747473,69
69122,69480,lucenay,45.91336984,4.7086949350000005,69
69124,69430,marchampt,46.108298536,4.5613038150000005,69
69125,69380,marcilly d azergues,45.868634804,4.730717957,69
69126,69480,marcy,45.914214365,4.675479212,69
69127,69280,marcy l etoile,45.785004504,4.711446099,69
69130,69550,meaux la montagne,46.045995416,4.421811793,69
69131,69510,messimy,45.698993123,4.672546019,69
69132,69610,meys,45.681877447,4.400687646,69
69133,69390,millery,45.631140684,4.77843205,69
69134,69620,moire,45.925769903,4.6012121310000005,69
69135,69430,deux grosnes,46.234885757,4.559644222,69
69136,69700,montagny,45.624982099,4.749913258,69
69137,69640,montmelas st sorlin,46.018026664,4.601867694,69
69138,69610,montromant,45.710977998,4.534723644,69
69139,69770,montrottier,45.800831359,4.463216113,69
69140,69480,morance,45.894366392,4.699945961,69
69141,69440,mornant,45.616307541,4.673476632,69
69142,69350,la mulatiere,45.730157748,4.812668277,69
69143,69250,neuville sur saone,45.883441309,4.844217105,69
69145,69460,odenas,46.09360939,4.644968564,69
69148,69530,orlienas,45.661203239,4.720418292,69
69149,69600,oullins,45.715278722,4.80313113,69
69151,69460,le perreon,46.069355644,4.580377845,69
69152,69310,pierre benite,45.701759882,4.826965297,69
69153,69250,poleymieux au mont d or,45.855494343,4.7945303280000005,69
69154,69290,pollionnay,45.768421076,4.659241155,69
69155,69590,pomeys,45.64608203,4.445614319,69
69156,69480,pommiers,45.957681502,4.688654958,69
69157,69490,vindry sur turdine,45.892474917,4.494153241,69
69159,69400,porte des pierres dorees,45.964652572,4.649093816,69
69160,69870,poule les echarmeaux,46.142360083,4.460944547,69
69161,69790,propieres,46.192539389,4.451865663,69
69162,69430,quincie en beaujolais,46.113661861,4.607878628,69
69163,69650,quincieux,45.914085436,4.773649874,69
69164,69470,ranchal,46.123970777,4.402105905,69
69165,69430,regnie durette,46.147304582,4.642231503,69
69166,69440,riverie,45.598194691,4.588848208,69
69167,69640,rivolet,46.00650679,4.580915626,69
69168,69270,rochetaillee sur saone,45.843652379,4.8387216760000005,69
69169,69550,ronno,45.987629919,4.389928035,69
69170,69510,rontalon,45.657110879,4.618365701,69
69171,69210,sain bel,45.81182301,4.598539884,69
69172,69460,salles arbuissonnas beaujolais,46.045169006,4.631552885,69
69173,69490,sarcey,45.88527465,4.554673484,69
69174,69170,les sauvages,45.92398681,4.373564216,69
69175,69210,savigny,45.819906638,4.565581004,69
69176,69510,soucieu en jarrest,45.677056307,4.692013342,69
69177,69210,sourcieux les mines,45.798351851,4.6308030890000005,69
69178,69610,souzy,45.703840692,4.45122054,69
69179,69700,beauvallon,45.591799412,4.70343559,69
69180,69440,st andre la cote,45.632426258,4.596778405,69
69181,69170,st appolinaire,45.977209971,4.426472748,69
69182,69790,st bonnet des bruyeres,46.266423164,4.471973698,69
69183,69870,st bonnet le troncy,46.076646829,4.419180312,69
